,episode,actions,rewards
0,0,1,-1000.0
1,1,3,-1002.0
2,2,4,-1102.0
3,3,52,-1843.0
4,4,5,-1202.0
5,5,1,-1000.0
6,6,8,-1106.0
7,7,1,-1000.0
8,8,1,-1000.0
9,9,27,-1323.0
10,10,8,-1106.0
11,11,2,-1001.0
12,12,83,-2171.0
13,13,1,-1000.0
14,14,7,-1006.0
15,15,1,-1000.0
16,16,1,-1000.0
17,17,1,-1000.0
18,18,1,-1000.0
19,19,1,-1000.0
20,20,11,-1307.0
21,21,13,-1111.0
22,22,10,-1108.0
23,23,1,-1000.0
24,24,8,-1304.0
25,25,1,-1000.0
26,26,1,-1000.0
27,27,1,-1000.0
28,28,10,-1108.0
29,29,2,-1001.0
30,30,6,-1005.0
31,31,2,-1001.0
32,32,2,-1100.0
33,33,1,-1000.0
34,34,15,-1509.0
35,35,1,-1000.0
36,36,4,-1102.0
37,37,69,-1761.0
38,38,4,-1102.0
39,39,9,-1206.0
40,40,1,-1000.0
41,41,4,-1102.0
42,42,11,-1208.0
43,43,5,-1103.0
44,44,2,-1100.0
45,45,2,-1100.0
46,46,1,-1000.0
47,47,2,-1001.0
48,48,2,-1100.0
49,49,4,-1003.0
50,50,2,-1001.0
51,51,5,-1103.0
52,52,5,-1103.0
53,53,1,-1000.0
54,54,1,-1000.0
55,55,11,-1208.0
56,56,1,-1000.0
57,57,1,-1000.0
58,58,4,-1003.0
59,59,1,-1000.0
60,60,48,-1641.0
61,61,4,-1003.0
62,62,3,-1002.0
63,63,3,-1002.0
64,64,1,-1000.0
65,65,1,-1000.0
66,66,2,-1001.0
67,67,2,-1100.0
68,68,15,-1212.0
69,69,1,-1000.0
70,70,14,-1310.0
71,71,3,-1002.0
72,72,1,-1000.0
73,73,1,-1000.0
74,74,1,-1000.0
75,75,3,-1002.0
76,76,17,-1412.0
77,77,34,-1528.0
78,78,4,-1201.0
79,79,14,-1211.0
80,80,1,-1000.0
81,81,6,-1104.0
82,82,33,-1725.0
83,83,1,-1000.0
84,84,10,-1207.0
85,85,6,-1104.0
86,86,1,-1000.0
87,87,2,-1001.0
88,88,13,-1111.0
89,89,8,-1106.0
90,90,5,-1103.0
91,91,1,-1000.0
92,92,1,-1000.0
93,93,8,-1205.0
94,94,76,-2560.0
95,95,1,-1000.0
96,96,1,-1000.0
97,97,1,-1000.0
98,98,2,-1001.0
99,99,4,-1003.0
100,100,1,-1000.0
101,101,3,-1002.0
102,102,1,-1000.0
103,103,2,-1001.0
104,104,8,-1304.0
105,105,1,-1000.0
106,106,1,-1000.0
107,107,10,-1306.0
108,108,1,-1000.0
109,109,1,-1000.0
110,110,7,-1105.0
111,111,3,-1101.0
112,112,3,-1002.0
113,113,4,-1003.0
114,114,7,-1006.0
115,115,2,-1001.0
116,116,4,-1102.0
117,117,1,-1000.0
118,118,4,-1102.0
119,119,4,-1003.0
120,120,5,-1004.0
121,121,2,-1001.0
122,122,2,-1100.0
123,123,1,-1000.0
124,124,39,-1929.0
125,125,2,-1100.0
126,126,3,-1002.0
127,127,4,-1201.0
128,128,3,-1101.0
129,129,1,-1000.0
130,130,5,-1004.0
131,131,14,-1409.0
132,132,3,-1002.0
133,133,1,-1000.0
134,134,4,-1003.0
135,135,2,-1001.0
136,136,6,-1005.0
137,137,4,-1003.0
138,138,2,-1001.0
139,139,3,-1002.0
140,140,1,-1000.0
141,141,1,-1000.0
142,142,1,-1000.0
143,143,2,-1001.0
144,144,5,-1004.0
145,145,7,-1105.0
146,146,15,-1014.0
147,147,2,-1100.0
148,148,4,-1102.0
149,149,1,-1000.0
150,150,3,-1002.0
151,151,1,-1000.0
152,152,10,-1108.0
153,153,8,-1304.0
154,154,1,-1000.0
155,155,1,-1000.0
156,156,53,-1646.0
157,157,1,-1000.0
158,158,4,-1201.0
159,159,1,-1000.0
160,160,1,-1000.0
161,161,4,-1102.0
162,162,1,-1000.0
163,163,3,-1101.0
164,164,3,-1002.0
165,165,502,-10114.0
166,166,2,-1001.0
167,167,1,-1000.0
168,168,1,-1000.0
169,169,5,-1103.0
170,170,3,-1002.0
171,171,8,-1106.0
172,172,3,-1002.0
173,173,2,-1001.0
174,174,3,-1101.0
175,175,3,-1101.0
176,176,1,-1000.0
177,177,3,-1002.0
178,178,7,-1006.0
179,179,2,-1001.0
180,180,1,-1000.0
181,181,9,-1206.0
182,182,2,-1001.0
183,183,2,-1100.0
184,184,1,-1000.0
185,185,23,-1121.0
186,186,1,-1000.0
187,187,2,-1001.0
188,188,12,-1308.0
189,189,1,-1000.0
190,190,5,-1103.0
191,191,1,-1000.0
192,192,9,-1206.0
193,193,2,-1001.0
194,194,1,-1000.0
195,195,2,-1100.0
196,196,9,-1206.0
197,197,1,-1000.0
198,198,2,-1100.0
199,199,1,-1000.0
200,200,2,-1001.0
201,201,1,-1000.0
202,202,1,-1000.0
203,203,1,-1000.0
204,204,9,-1305.0
205,205,1,-1000.0
206,206,3,-1101.0
207,207,1,-1000.0
208,208,5,-1004.0
209,209,3,-1200.0
210,210,2,-1001.0
211,211,8,-1106.0
212,212,1,-1000.0
213,213,8,-1106.0
214,214,3,-1101.0
215,215,2,-1001.0
216,216,1,-1000.0
217,217,2,-1100.0
218,218,7,-1006.0
219,219,1,-1000.0
220,220,1,-1000.0
221,221,1,-1000.0
222,222,1,-1000.0
223,223,9,-1206.0
224,224,3,-1002.0
225,225,3,-1002.0
226,226,2,-1001.0
227,227,1,-1000.0
228,228,19,-1414.0
229,229,1,-1000.0
230,230,6,-1005.0
231,231,5,-1103.0
232,232,2,-1001.0
233,233,5,-1103.0
234,234,1,-1000.0
235,235,1,-1000.0
236,236,1,-1000.0
237,237,1,-1000.0
238,238,13,-1408.0
239,239,1,-1000.0
240,240,1,-1000.0
241,241,5,-1103.0
242,242,2,-1100.0
243,243,3,-1002.0
244,244,17,-1214.0
245,245,4,-1003.0
246,246,6,-1104.0
247,247,2,-1001.0
248,248,2,-1001.0
249,249,1,-1000.0
250,250,3,-1101.0
251,251,3,-1101.0
252,252,2,-1100.0
253,253,1,-1000.0
254,254,1,-1000.0
255,255,1,-1000.0
256,256,1,-1000.0
257,257,5,-1202.0
258,258,6,-1203.0
259,259,4,-1102.0
260,260,3,-1101.0
261,261,3,-1101.0
262,262,19,-1414.0
263,263,5,-1004.0
264,264,18,-1017.0
265,265,2,-1100.0
266,266,1,-1000.0
267,267,1,-1000.0
268,268,2,-1100.0
269,269,9,-1107.0
270,270,4,-1102.0
271,271,2,-1001.0
272,272,13,-1309.0
273,273,7,-1105.0
274,274,2,-1001.0
275,275,2,-1001.0
276,276,1,-1000.0
277,277,1,-1000.0
278,278,4,-1003.0
279,279,5,-1103.0
280,280,1,-1000.0
281,281,1,-1000.0
282,282,4,-1102.0
283,283,19,-1018.0
284,284,5,-1103.0
285,285,5,-1004.0
286,286,1,-1000.0
287,287,15,-1410.0
288,288,2,-1100.0
289,289,1,-1000.0
290,290,1,-1000.0
291,291,3,-1002.0
292,292,3,-1101.0
293,293,4,-1003.0
294,294,3,-1101.0
295,295,1,-1000.0
296,296,2,-1001.0
297,297,2,-1001.0
298,298,1,-1000.0
299,299,1,-1000.0
300,300,8,-1205.0
301,301,1,-1000.0
302,302,7,-1204.0
303,303,1,-1000.0
304,304,1,-1000.0
305,305,1,-1000.0
306,306,1,-1000.0
307,307,1,-1000.0
308,308,1,-1000.0
309,309,4,-1003.0
310,310,2,-1001.0
311,311,4,-1003.0
312,312,13,-1408.0
313,313,1,-1000.0
314,314,3,-1002.0
315,315,2,-1100.0
316,316,4,-1003.0
317,317,1,-1000.0
318,318,8,-1106.0
319,319,11,-1208.0
320,320,9,-1206.0
321,321,3,-1002.0
322,322,1,-1000.0
323,323,5,-1301.0
324,324,4,-1102.0
325,325,1,-1000.0
326,326,1,-1000.0
327,327,1,-1000.0
328,328,4,-1102.0
329,329,2,-1001.0
330,330,5,-1004.0
331,331,1,-1000.0
332,332,2,-1100.0
333,333,1,-1000.0
334,334,1,-1000.0
335,335,3,-1101.0
336,336,3,-1002.0
337,337,3,-1101.0
338,338,3,-1101.0
339,339,2,-1001.0
340,340,4,-1102.0
341,341,1,-1000.0
342,342,2,-1001.0
343,343,2,-1100.0
344,344,1,-1000.0
345,345,1,-1000.0
346,346,2,-1001.0
347,347,1,-1000.0
348,348,9,-1206.0
349,349,2,-1100.0
350,350,4,-1102.0
351,351,2,-1001.0
352,352,4,-1003.0
353,353,23,-1220.0
354,354,1,-1000.0
355,355,1,-1000.0
356,356,2,-1001.0
357,357,12,-1209.0
358,358,7,-1402.0
359,359,1,-1000.0
360,360,1,-1000.0
361,361,9,-1404.0
362,362,1,-1000.0
363,363,1,-1000.0
364,364,4,-1102.0
365,365,4,-1102.0
366,366,1,-1000.0
367,367,10,-1108.0
368,368,2,-1001.0
369,369,17,-1313.0
370,370,3,-1002.0
371,371,1,-1000.0
372,372,2,-1100.0
373,373,1,-1000.0
374,374,6,-1302.0
375,375,3,-1200.0
376,376,1,-1000.0
377,377,1,-1000.0
378,378,1,-1000.0
379,379,1,-1000.0
380,380,1,-1000.0
381,381,4,-1003.0
382,382,3,-1101.0
383,383,7,-1105.0
384,384,7,-1204.0
385,385,2,-1001.0
386,386,1,-1000.0
387,387,6,-1203.0
388,388,1,-1000.0
389,389,4,-1102.0
390,390,3,-1002.0
391,391,1,-1000.0
392,392,2,-1001.0
393,393,1,-1000.0
394,394,1,-1000.0
395,395,2,-1100.0
396,396,3,-1101.0
397,397,2,-1001.0
398,398,1,-1000.0
399,399,1,-1000.0
400,400,20,-1316.0
401,401,1,-1000.0
402,402,1,-1000.0
403,403,1,-1000.0
404,404,8,-1205.0
405,405,3,-1002.0
406,406,16,-1312.0
407,407,1,-1000.0
408,408,1,-1000.0
409,409,3,-1002.0
410,410,2,-1001.0
411,411,3,-1101.0
412,412,9,-1008.0
413,413,1,-1000.0
414,414,1,-1000.0
415,415,6,-1005.0
416,416,4,-1003.0
417,417,1,-1000.0
418,418,1,-1000.0
419,419,1,-1000.0
420,420,1,-1000.0
421,421,1,-1000.0
422,422,2,-1001.0
423,423,4,-1003.0
424,424,13,-1111.0
425,425,4,-1201.0
426,426,3,-1002.0
427,427,3,-1101.0
428,428,1,-1000.0
429,429,1,-1000.0
430,430,1,-1000.0
431,431,1,-1000.0
432,432,4,-1102.0
433,433,2,-1001.0
434,434,4,-1003.0
435,435,1,-1000.0
436,436,4,-1102.0
437,437,1,-1000.0
438,438,1,-1000.0
439,439,1,-1000.0
440,440,1,-1000.0
441,441,5,-1004.0
442,442,1,-1000.0
443,443,21,-1515.0
444,444,1,-1000.0
445,445,1,-1000.0
446,446,5,-1301.0
447,447,14,-1013.0
448,448,3,-1002.0
449,449,1,-1000.0
450,450,7,-1006.0
451,451,16,-1312.0
452,452,3,-1002.0
453,453,2,-1100.0
454,454,1,-1000.0
455,455,9,-1206.0
456,456,11,-1208.0
457,457,1,-1000.0
458,458,3,-1002.0
459,459,1,-1000.0
460,460,1,-1000.0
461,461,5,-1103.0
462,462,1,-1000.0
463,463,1,-1000.0
464,464,1,-1000.0
465,465,3,-1002.0
466,466,2,-1001.0
467,467,2,-1001.0
468,468,4,-1102.0
469,469,1,-1000.0
470,470,2,-1001.0
471,471,10,-1009.0
472,472,1,-1000.0
473,473,1,-1000.0
474,474,3,-1200.0
475,475,1,-1000.0
476,476,1,-1000.0
477,477,1,-1000.0
478,478,1,-1000.0
479,479,1,-1000.0
480,480,1,-1000.0
481,481,10,-1009.0
482,482,3,-1002.0
483,483,4,-1102.0
484,484,11,-1010.0
485,485,3,-1200.0
486,486,1,-1000.0
487,487,2,-1001.0
488,488,3,-1101.0
489,489,12,-1209.0
490,490,11,-1307.0
491,491,1,-1000.0
492,492,1,-1000.0
493,493,8,-1304.0
494,494,1,-1000.0
495,495,4,-1003.0
496,496,8,-1007.0
497,497,1,-1000.0
498,498,6,-1104.0
499,499,6,-1005.0
500,500,3,-1002.0
501,501,9,-1404.0
502,502,1,-1000.0
503,503,3,-1002.0
504,504,2,-1001.0
505,505,1,-1000.0
506,506,4,-1201.0
507,507,1,-1000.0
508,508,5,-1202.0
509,509,8,-1205.0
510,510,18,-1413.0
511,511,4,-1003.0
512,512,1,-1000.0
513,513,6,-1104.0
514,514,3,-1002.0
515,515,7,-1006.0
516,516,1,-1000.0
517,517,4,-1003.0
518,518,1,-1000.0
519,519,18,-1314.0
520,520,2,-1100.0
521,521,5,-1004.0
522,522,1,-1000.0
523,523,1,-1000.0
524,524,3,-1002.0
525,525,1,-1000.0
526,526,1,-1000.0
527,527,2,-1100.0
528,528,2,-1001.0
529,529,2,-1100.0
530,530,5,-1103.0
531,531,1,-1000.0
532,532,3,-1002.0
533,533,1,-1000.0
534,534,3,-1002.0
535,535,1,-1000.0
536,536,1,-1000.0
537,537,8,-1205.0
538,538,1,-1000.0
539,539,3,-1101.0
540,540,2,-1001.0
541,541,1,-1000.0
542,542,1,-1000.0
543,543,1,-1000.0
544,544,2,-1001.0
545,545,7,-1006.0
546,546,13,-1210.0
547,547,6,-1401.0
548,548,4,-1102.0
549,549,1,-1000.0
550,550,6,-1104.0
551,551,1,-1000.0
552,552,1,-1000.0
553,553,7,-1105.0
554,554,2,-1100.0
555,555,3,-1002.0
556,556,1,-1000.0
557,557,1,-1000.0
558,558,1,-1000.0
559,559,1,-1000.0
560,560,1,-1000.0
561,561,4,-1102.0
562,562,3,-1101.0
563,563,1,-1000.0
564,564,5,-1004.0
565,565,2,-1100.0
566,566,2,-1001.0
567,567,1,-1000.0
568,568,4,-1003.0
569,569,1,-1000.0
570,570,3,-1002.0
571,571,1,-1000.0
572,572,3,-1002.0
573,573,3,-1101.0
574,574,5,-1004.0
575,575,1,-1000.0
576,576,1,-1000.0
577,577,1,-1000.0
578,578,2,-1001.0
579,579,1,-1000.0
580,580,1,-1000.0
581,581,2,-1001.0
582,582,4,-1003.0
583,583,3,-1002.0
584,584,4,-1003.0
585,585,1,-1000.0
586,586,3,-1002.0
587,587,1,-1000.0
588,588,1,-1000.0
589,589,1,-1000.0
590,590,12,-1407.0
591,591,1,-1000.0
592,592,1,-1000.0
593,593,5,-1004.0
594,594,8,-1205.0
595,595,15,-1311.0
596,596,2,-1001.0
597,597,1,-1000.0
598,598,1,-1000.0
599,599,4,-1102.0
600,600,1,-1000.0
601,601,3,-1101.0
602,602,1,-1000.0
603,603,17,-1313.0
604,604,4,-1102.0
605,605,6,-1104.0
606,606,2,-1001.0
607,607,2,-1001.0
608,608,2,-1001.0
609,609,3,-1200.0
610,610,2,-1100.0
611,611,4,-1102.0
612,612,1,-1000.0
613,613,2,-1100.0
614,614,4,-1102.0
615,615,9,-1107.0
616,616,1,-1000.0
617,617,1,-1000.0
618,618,1,-1000.0
619,619,1,-1000.0
620,620,3,-1002.0
621,621,9,-1107.0
622,622,1,-1000.0
623,623,3,-1002.0
624,624,1,-1000.0
625,625,4,-1201.0
626,626,1,-1000.0
627,627,3,-1002.0
628,628,4,-1003.0
629,629,3,-1101.0
630,630,1,-1000.0
631,631,10,-1009.0
632,632,1,-1000.0
633,633,1,-1000.0
634,634,7,-1105.0
635,635,4,-1003.0
636,636,3,-1200.0
637,637,1,-1000.0
638,638,1,-1000.0
639,639,1,-1000.0
640,640,6,-1401.0
641,641,1,-1000.0
642,642,3,-1101.0
643,643,1,-1000.0
644,644,3,-1002.0
645,645,1,-1000.0
646,646,1,-1000.0
647,647,1,-1000.0
648,648,1,-1000.0
649,649,1,-1000.0
650,650,2,-1100.0
651,651,1,-1000.0
652,652,6,-1005.0
653,653,3,-1002.0
654,654,2,-1100.0
655,655,1,-1000.0
656,656,1,-1000.0
657,657,18,-1215.0
658,658,1,-1000.0
659,659,3,-1002.0
660,660,3,-1101.0
661,661,5,-1103.0
662,662,1,-1000.0
663,663,5,-1004.0
664,664,2,-1001.0
665,665,5,-1004.0
666,666,1,-1000.0
667,667,3,-1101.0
668,668,1,-1000.0
669,669,1,-1000.0
670,670,3,-1002.0
671,671,4,-1003.0
672,672,3,-1002.0
673,673,3,-1101.0
674,674,2,-1100.0
675,675,1,-1000.0
676,676,4,-1201.0
677,677,11,-1010.0
678,678,3,-1002.0
679,679,1,-1000.0
680,680,5,-1202.0
681,681,1,-1000.0
682,682,3,-1101.0
683,683,2,-1001.0
684,684,2,-1100.0
685,685,12,-1110.0
686,686,2,-1100.0
687,687,1,-1000.0
688,688,3,-1101.0
689,689,5,-1301.0
690,690,2,-1001.0
691,691,1,-1000.0
692,692,21,-1119.0
693,693,10,-1009.0
694,694,17,-1313.0
695,695,1,-1000.0
696,696,1,-1000.0
697,697,1,-1000.0
698,698,1,-1000.0
699,699,2,-1001.0
700,700,4,-1003.0
701,701,5,-1103.0
702,702,1,-1000.0
703,703,1,-1000.0
704,704,1,-1000.0
705,705,1,-1000.0
706,706,2,-1100.0
707,707,2,-1001.0
708,708,2,-1001.0
709,709,3,-1002.0
710,710,1,-1000.0
711,711,14,-1310.0
712,712,2,-1100.0
713,713,1,-1000.0
714,714,1,-1000.0
715,715,1,-1000.0
716,716,4,-1003.0
717,717,1,-1000.0
718,718,3,-1101.0
719,719,1,-1000.0
720,720,15,-1014.0
721,721,4,-1003.0
722,722,2,-1100.0
723,723,2,-1100.0
724,724,1,-1000.0
725,725,1,-1000.0
726,726,1,-1000.0
727,727,2,-1100.0
728,728,2,-1001.0
729,729,1,-1000.0
730,730,5,-1103.0
731,731,1,-1000.0
732,732,1,-1000.0
733,733,3,-1101.0
734,734,1,-1000.0
735,735,2,-1100.0
736,736,2,-1100.0
737,737,6,-1104.0
738,738,1,-1000.0
739,739,1,-1000.0
740,740,1,-1000.0
741,741,3,-1101.0
742,742,3,-1101.0
743,743,3,-1002.0
744,744,6,-1005.0
745,745,1,-1000.0
746,746,1,-1000.0
747,747,5,-1202.0
748,748,2,-1001.0
749,749,4,-1003.0
750,750,4,-1102.0
751,751,1,-1000.0
752,752,1,-1000.0
753,753,1,-1000.0
754,754,1,-1000.0
755,755,4,-1102.0
756,756,1,-1000.0
757,757,7,-1006.0
758,758,3,-1002.0
759,759,1,-1000.0
760,760,13,-1210.0
761,761,8,-1106.0
762,762,1,-1000.0
763,763,1,-1000.0
764,764,4,-1102.0
765,765,1,-1000.0
766,766,1,-1000.0
767,767,2,-1001.0
768,768,1,-1000.0
769,769,1,-1000.0
770,770,4,-1003.0
771,771,1,-1000.0
772,772,3,-1200.0
773,773,2,-1001.0
774,774,2,-1001.0
775,775,1,-1000.0
776,776,18,-1314.0
777,777,1,-1000.0
778,778,1,-1000.0
779,779,1,-1000.0
780,780,7,-1105.0
781,781,11,-1109.0
782,782,1,-1000.0
783,783,7,-1204.0
784,784,2,-1100.0
785,785,3,-1101.0
786,786,7,-1204.0
787,787,4,-1102.0
788,788,1,-1000.0
789,789,3,-1002.0
790,790,2,-1001.0
791,791,1,-1000.0
792,792,2,-1001.0
793,793,4,-1003.0
794,794,16,-1312.0
795,795,1,-1000.0
796,796,1,-1000.0
797,797,2,-1001.0
798,798,3,-1101.0
799,799,9,-1008.0
800,800,4,-1201.0
801,801,5,-1004.0
802,802,2,-1100.0
803,803,1,-1000.0
804,804,1,-1000.0
805,805,1,-1000.0
806,806,1,-1000.0
807,807,1,-1000.0
808,808,2,-1001.0
809,809,2,-1100.0
810,810,1,-1000.0
811,811,1,-1000.0
812,812,1,-1000.0
813,813,10,-1207.0
814,814,1,-1000.0
815,815,1,-1000.0
816,816,1,-1000.0
817,817,1,-1000.0
818,818,7,-1303.0
819,819,1,-1000.0
820,820,1,-1000.0
821,821,2,-1100.0
822,822,1,-1000.0
823,823,1,-1000.0
824,824,8,-1007.0
825,825,2,-1100.0
826,826,3,-1002.0
827,827,4,-1003.0
828,828,9,-1107.0
829,829,1,-1000.0
830,830,4,-1102.0
831,831,2,-1001.0
832,832,3,-1002.0
833,833,1,-1000.0
834,834,1,-1000.0
835,835,5,-1202.0
836,836,1,-1000.0
837,837,1,-1000.0
838,838,17,-1610.0
839,839,6,-1203.0
840,840,1,-1000.0
841,841,3,-1101.0
842,842,3,-1101.0
843,843,3,-1002.0
844,844,1,-1000.0
845,845,1,-1000.0
846,846,3,-1101.0
847,847,2,-1001.0
848,848,2,-1001.0
849,849,1,-1000.0
850,850,4,-1003.0
851,851,1,-1000.0
852,852,14,-1310.0
853,853,2,-1100.0
854,854,10,-1306.0
855,855,1,-1000.0
856,856,6,-1203.0
857,857,1,-1000.0
858,858,2,-1100.0
859,859,1,-1000.0
860,860,3,-1101.0
861,861,4,-1003.0
862,862,1,-1000.0
863,863,16,-1015.0
864,864,7,-1105.0
865,865,3,-1002.0
866,866,5,-1103.0
867,867,1,-1000.0
868,868,2,-1001.0
869,869,4,-1102.0
870,870,5,-1004.0
871,871,4,-1003.0
872,872,3,-1002.0
873,873,2,-1100.0
874,874,1,-1000.0
875,875,2,-1100.0
876,876,11,-1109.0
877,877,3,-1101.0
878,878,1,-1000.0
879,879,2,-1100.0
880,880,1,-1000.0
881,881,1,-1000.0
882,882,1,-1000.0
883,883,2,-1001.0
884,884,2,-1100.0
885,885,2,-1001.0
886,886,3,-1002.0
887,887,5,-1004.0
888,888,12,-1308.0
889,889,2,-1100.0
890,890,3,-1002.0
891,891,3,-1101.0
892,892,3,-1101.0
893,893,8,-1205.0
894,894,6,-1005.0
895,895,2,-1100.0
896,896,1,-1000.0
897,897,4,-1102.0
898,898,1,-1000.0
899,899,2,-1001.0
900,900,7,-1105.0
901,901,1,-1000.0
902,902,4,-1102.0
903,903,7,-1006.0
904,904,2,-1001.0
905,905,7,-1402.0
906,906,5,-1004.0
907,907,3,-1002.0
908,908,1,-1000.0
909,909,1,-1000.0
910,910,4,-1003.0
911,911,2,-1100.0
912,912,11,-1109.0
913,913,1,-1000.0
